"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q101,Q102,Q201,Q202";"SOT-23_Handsoldering";4;"BC817";;;
2;"DS101";"1602B";1;"LCD16X2";;;
3;"BZ101";"Buzzer";1;"Buzzer";;;
4;"C101,C102";"C_0805_HandSoldering";2;"22p";;;
5;"C103,C104,C105,C106,C108,C109,C110,C112,C113,C114,C115,C116,C117,C118";"C_0805_HandSoldering";14;"100n";;;
6;"C107";"CP_Radial_D10.0mm_P5.00mm";1;"1000u x16v";;;
7;"C111";"CP_Radial_D5.0mm_P2.50mm";1;"100u";;;
8;"C201,C202";"C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4";2;"0.01u 630v";;;
9;"D101,D102,D205,D206";"LED_D5.0mm";4;"LED";;;
10;"D201,D202";"D_SMA_Handsoldering";2;"1n4007";;;
11;"F101";"Fuseholder5x20_horiz_open_universal_Type-III";1;"Fuse";;;
12;"BOTONES";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"Aux";;;
13;"PROG,UART";"Pin_Header_Straight_2x03_Pitch2.54mm";2;"PROG";;;
14;"ALIMENTACION";"bornier2";1;"FUENTE12V";;;
15;"GND";"PINHEAD1-2";1;"GND";;;
16;"SENSOR1,SENSOR2,SENSOR3";"PINHEAD1-3";3;"LM35";;;
17;"TC1,TC2,TC3";"Pin_Header_Straight_1x05_Pitch2.54mm";3;"CONN_01X05";;;
18;"SALIDA2,SALIDA1";"bornier3";2;"SALIDA2";;;
19;"L101";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";1;"L";;;
20;"MK101,MK102,MK103,MK104";"MountingHole_3.5mm";4;"Mounting_Hole";;;
21;"R101,R102,R114,R201,R202";"R_0805_HandSoldering";5;"10k";;;
22;"R103,R105,R110,R112,R115";"R_0805_HandSoldering";5;"1k";;;
23;"R104";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
24;"R106,R107,R211,R212";"R_0805_HandSoldering";4;"470";;;
25;"R111,R113,R116,R203,R204";"R_0805_HandSoldering";5;"TBD";;;
26;"R205,R207";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"360";;;
27;"R206,R208";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330";;;
28;"R209,R210";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"39R";;;
29;"RL201,RL202";"Relay_SANYOU_SRD_Series_Form_C";2;"RELAY";;;
30;"U101";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATMEGA16A-AU";;;
31;"U102";"TO-220_Vertical";1;"LM7805CT";;;
32;"Y101";"Crystal_HC18-U_Vertical";1;"Crystal";;;
33;"D203,D204";"TO-220_Vertical";2;"BTA24";;;
34;"U201,U202";"DIP-6_W7.62mm";2;"MOC3063M";;;
